Miasto,Powiat,Województwo,Powierzchnia [ha] (01.01.2021),Liczba ludności (01.01.2021),Gęstość zaludnienia [osoby/km²] (01.01.2021)
Krynica Morska,nowodworski,pomorskie,11856,1290,11
Krynica-Zdrój,nowosądecki,małopolskie,3968,10456,264
Krynki,sokólski,podlaskie,383,2313,604
Krzanowice,raciborski,śląskie,308,2134,693
Krzepice,kłobucki,śląskie,2766,4361,158
Krzeszowice,krakowski,małopolskie,1697,9969,587
Krzywiń,kościański,wielkopolskie,227,1721,758
Krzyż Wielkopolski,czarnkowsko-trzcianecki,wielkopolskie,581,6147,1058
Książ Wielki,miechowski,małopolskie,562,817,145
Książ Wielkopolski,śremski,wielkopolskie,196,2718,1387
Kudowa-Zdrój,kłodzki,dolnośląskie,3390,9772,288
Kunów,ostrowiecki,świętokrzyskie,726,2883,397
Kutno,kutnowski,łódzkie,3359,43332,1290
Kuźnia Raciborska,raciborski,śląskie,3149,5230,166
Kwidzyn,kwidzyński,pomorskie,2154,38329,1779
Latowicz,miński,mazowieckie,2573,1380,54
Lądek-Zdrój,kłodzki,dolnośląskie,2032,5466,269
Legionowo,legionowski,mazowieckie,1354,53529,3953
Legnica,Legnica,dolnośląskie,5629,98436,1749
Lesko,leski,podkarpackie,1533,5406,353
Leszno,Leszno,wielkopolskie,3186,62854,1973
Leśna,lubański,dolnośląskie,856,4391,513
Leśnica,strzelecki,opolskie,1450,2564,177
Lewin Brzeski,brzeski,opolskie,1164,5696,489
Leżajsk,leżajski,podkarpackie,2058,13585,660
Lębork,lęborski,pomorskie,1786,35101,1965
Lędziny,bieruńsko-lędziński,śląskie,3165,16731,529
Libiąż,chrzanowski,małopolskie,3585,16838,470
Lidzbark,działdowski,warmińsko-mazurskie,568,7635,1344
Lidzbark Warmiński,lidzbarski,warmińsko-mazurskie,1435,15489,1079
Limanowa,limanowski,małopolskie,1870,15067,806
Lipiany,pyrzycki,zachodniopomorskie,554,3887,702
Lipno,lipnowski,kujawsko-pomorskie,1099,14283,1300
Lipsk,augustowski,podlaskie,498,2250,452
Lipsko,lipski,mazowieckie,1570,5377,342
Lubaczów,lubaczowski,podkarpackie,2573,11830,460
Lubań,lubański,dolnośląskie,1612,20723,1286
Lubartów,lubartowski,lubelskie,1391,21636,1555
Lubawa,iławski,warmińsko-mazurskie,1684,10374,616
Lubawka,kamiennogórski,dolnośląskie,2244,5940,265
Lubień Kujawski,włocławski,kujawsko-pomorskie,231,1377,596
Lubin,lubiński,dolnośląskie,4077,71710,1759
Lublin,Lublin,lubelskie,14747,338586,2296
Lubliniec,lubliniecki,śląskie,8936,23551,264
Lubniewice,sulęciński,lubuskie,1211,2080,172
Lubomierz,lwówecki,dolnośląskie,805,1987,247
Luboń,poznański,wielkopolskie,1351,32015,2370
Lubowidz,żuromiński,mazowieckie,527,1645,312
Lubraniec,włocławski,kujawsko-pomorskie,197,2927,1486
Lubsko,żarski,lubuskie,1251,13733,1098
Lubycza Królewska,tomaszowski,lubelskie,392,2424,618
Lutomiersk,pabianicki,łódzkie,518,1569,303
Lututów,wieruszowski,łódzkie,1895,2241,118
Lwówek,nowotomyski,wielkopolskie,316,2933,928
Lwówek Śląski,lwówecki,dolnośląskie,1665,8753,526
Łabiszyn,żniński,kujawsko-pomorskie,289,4501,1557
Łagów,kielecki,świętokrzyskie,822,1543,188
Łańcut,łańcucki,podkarpackie,1942,17675,910
Łapy,białostocki,podlaskie,1214,15412,1270
Łasin,grudziądzki,kujawsko-pomorskie,479,3161,660
Łask,łaski,łódzkie,1567,16925,1080
Łaskarzew,garwoliński,mazowieckie,1535,4809,313
Łaszczów,tomaszowski,lubelskie,501,2111,421
Łaziska Górne,mikołowski,śląskie,2011,22130,1100
Łazy,zawierciański,śląskie,860,6744,784
Łeba,lęborski,pomorskie,1656,3541,214
Łęczna,łęczyński,lubelskie,1900,18675,983
Łęczyca,łęczycki,łódzkie,895,13786,1540
Łęknica,żarski,lubuskie,1643,2396,146
Łobez,łobeski,zachodniopomorskie,1284,10048,783
Łobżenica,pilski,wielkopolskie,325,2939,904
Łochów,węgrowski,mazowieckie,1339,6822,509
Łomianki,warszawski zachodni,mazowieckie,840,17080,2033
Łomża,Łomża,podlaskie,3267,62573,1915
Łopuszno,kielecki,świętokrzyskie,524,1402,268
Łosice,łosicki,mazowieckie,2374,7023,296
Łowicz,łowicki,łódzkie,2342,27896,1191
Łódź,Łódź,łódzkie,29325,672185,2292
Łuków,łukowski,lubelskie,3575,29441,824
Maciejowice,garwoliński,mazowieckie,1088,1410,130
Magnuszew,kozienicki,mazowieckie,918,966,105
Maków Mazowiecki,makowski,mazowieckie,1028,9575,931
Maków Podhalański,suski,małopolskie,2012,5769,287
Malbork,malborski,pomorskie,1716,38101,2220
Małogoszcz,jędrzejowski,świętokrzyskie,968,3670,379
Małomice,żagański,lubuskie,675,3496,518
Margonin,chodzieski,wielkopolskie,515,2984,579
Marki,wołomiński,mazowieckie,2615,36816,1408
Maszewo,goleniowski,zachodniopomorskie,554,3346,604
Miasteczko Krajeńskie,pilski,wielkopolskie,193,1080,560
Miasteczko Śląskie,tarnogórski,śląskie,6783,7418,109
Miastko,bytowski,pomorskie,568,10211,1798
